"id_parcel","surf_parc","code_cultu","source","id","type"
"19843457",0.04,"VRC","IGN","commune.12963","vineyard"
"19855490",0,"SNE","IGN","commune.12963","SNE"
"19860537",0.02,"BOR","IGN","commune.13028","notirrigated"
"19836570",0.18,"VRC","IGN","commune.13028","vineyard"
"3508641",0.04,"BOR","IGN","commune.13028","notirrigated"
"19867597",0.02,"BOR","IGN","commune.13218","notirrigated"
"10133359",1.34,"PRL","IGN","commune.13049","semiperennial"
"10140984",38.08,"SPH","IGN","commune.13049","perennial"
"10133439",0.13,"SNE","IGN","commune.13049","SNE"
"10133412",0.09,"BTA","IGN","commune.13049","notirrigated"
"10133365",0.17,"BTA","IGN","commune.13049","notirrigated"
"12311393",0.41,"SPL","IGN","commune.13049","SPL"
"12311568",3.24,"PRL","IGN","commune.13049","semiperennial"
"10133513",0.15,"BTA","IGN","commune.13049","notirrigated"
"10133483",0.34,"PPH","IGN","commune.13049","perennial"
"12311571",4.74,"MLF","IGN","commune.13049","MLF"
"12311437",3.56,"PPH","IGN","commune.13049","perennial"
"10133518",0.06,"BTA","IGN","commune.13049","notirrigated"
"14812922",0.54,"ORH","IGN","commune.13070","barley"
"3450884",64.95,"SPL","IGN","commune.13070","SPL"
"17263814",2.06,"VRC","IGN","commune.13070","vineyard"
"17284764",0.26,"BOR","IGN","commune.13070","notirrigated"
"17263815",0.12,"VRC","IGN","commune.13070","vineyard"
"3464494",0.26,"VRC","IGN","commune.13070","vineyard"
"3513609",1.91,"SNE","IGN","commune.13070","SNE"
"3464491",0.99,"VRC","IGN","commune.13070","vineyard"
"12325679",0.53,"SNE","IGN","commune.13049","SNE"
"3493482",2.18,"SPL","IGN","commune.13049","SPL"
"3493302",1.99,"MLG","IGN","commune.13049","MLG"
"10133406",0.09,"BTA","IGN","commune.13049","notirrigated"
"3493308",1.81,"SPH","IGN","commune.13049","perennial"
"19852271",81.81,"SPL","IGN","commune.13049","SPL"
"3493627",0.43,"PRL","IGN","commune.13049","semiperennial"
"3493400",0.77,"PRL","IGN","commune.13049","semiperennial"
"3493309",2.02,"MLG","IGN","commune.13049","MLG"
