"id_parcel","surf_parc","code_cultu","source","id","type"
"3463487",0.3,"ORH","IGN","commune.13178","barley"
"10122019",1.11,"LUZ","IGN","commune.13154","fodder"
"3482856",0.64,"PTR","IGN","commune.13154","semiperennial"
"10121996",0.85,"VRC","IGN","commune.13154","vineyard"
"12302344",0.53,"PTR","IGN","commune.13154","semiperennial"
"3482949",1.06,"VRC","IGN","commune.13154","vineyard"
"3495070",0.88,"SPH","IGN","commune.12922","perennial"
"3495068",2.62,"SPH","IGN","commune.12922","perennial"
"12303280",0.37,"SPH","IGN","commune.13266","perennial"
"12302016",0.52,"VRC","IGN","commune.13146","vineyard"
"10127731",0.56,"MCR","IGN","commune.13148","othercereal"
"3454241",0.02,"SPH","IGN","commune.13070","perennial"
"3496661",0.98,"SPL","IGN","commune.13148","SPL"
"3496616",0.75,"LUZ","IGN","commune.13148","fodder"
"12306961",1.15,"J5M","IGN","commune.13041","semiperennial"
"12306964",0.41,"PTR","IGN","commune.13041","semiperennial"
"3541679",0.47,"VRC","IGN","commune.12926","vineyard"
"3482403",3.87,"VRC","IGN","commune.13161","vineyard"
"3480973",0.33,"VRC","IGN","commune.13161","vineyard"
"3454316",0.02,"SPH","IGN","commune.13061","perennial"
"3453759",0.24,"PPH","IGN","commune.13070","perennial"
"12301630",1.46,"PTR","IGN","commune.13063","semiperennial"
"3471975",0.22,"SAI","IGN","commune.13063","fodder"
"3471969",0.43,"SPL","IGN","commune.13063","SPL"
"12302169",0.78,"VRC","IGN","commune.13154","vineyard"
"12302171",0.75,"VRC","IGN","commune.13154","vineyard"
"12302172",0.41,"VRC","IGN","commune.13154","vineyard"
"12302146",0.24,"VRC","IGN","commune.13154","vineyard"
"12302168",0.64,"VRC","IGN","commune.13154","vineyard"
"12302173",0.74,"VRC","IGN","commune.13187","vineyard"
"3502209",0.13,"VRC","IGN","commune.13126","vineyard"
"3557097",0.45,"VRC","IGN","commune.13126","vineyard"
"3556888",0.3,"VRC","IGN","commune.13144","vineyard"
"3515247",0.62,"VRC","IGN","commune.13144","vineyard"
"3484146",0.14,"VRC","IGN","commune.13187","vineyard"
"3484141",0.41,"VRC","IGN","commune.13041","vineyard"
"10128752",0.42,"VRC","IGN","commune.13126","vineyard"
"10128749",0.31,"VRC","IGN","commune.13126","vineyard"
"3470078",0.16,"VRC","IGN","commune.13218","vineyard"
"3470081",0.23,"VRC","IGN","commune.12955","vineyard"
"3470073",0.47,"VRC","IGN","commune.12955","vineyard"
"3470080",0.37,"VRC","IGN","commune.13218","vineyard"
"3470070",0.13,"VRC","IGN","commune.13218","vineyard"
"3465796",0.47,"SPL","IGN","commune.12978","SPL"
"3470086",0.25,"OLI","IGN","commune.12955","olivetree"
"12305146",0.3,"RVI","IGN","commune.13098","semiperennial"
"3459853",0.03,"OLI","IGN","commune.13105","olivetree"
"3471018",0.64,"VRC","IGN","commune.12963","vineyard"
"3495015",7.08,"SPL","IGN","commune.13227","SPL"
"3495018",1.27,"SPH","IGN","commune.13227","perennial"
"3495017",0.16,"SPL","IGN","commune.13227","SPL"
"3485939",0.62,"OLI","IGN","commune.12920","olivetree"
"3485942",0.53,"OLI","IGN","commune.12920","olivetree"
"3485944",0.22,"OLI","IGN","commune.13217","olivetree"
"3484089",0.41,"VRC","IGN","commune.13154","vineyard"
"3492686",0.15,"LUZ","IGN","commune.12999","fodder"
"3446473",0.16,"FSG","IGN","commune.13194","FSG"
"3446473",0.16,"FSG","IGN","commune.13212","FSG"
"12301854",0.54,"VRC","IGN","commune.12963","vineyard"
"12312384",0.28,"FET","IGN","commune.13214","semiperennial"
"12308465",1.75,"VRC","IGN","commune.13144","vineyard"
"3462640",0.29,"VRC","IGN","commune.12963","vineyard"
"3455599",1.5,"VRC","IGN","commune.13105","vineyard"
"10116026",0.16,"VRC","IGN","commune.13105","vineyard"
"12309314",0.32,"VRC","IGN","commune.12954","vineyard"
"3449375",0.5,"VRC","IGN","commune.13154","vineyard"
"3484085",2.7,"VRC","IGN","commune.13154","vineyard"
"3454524",0.85,"SPH","IGN","commune.13061","perennial"
"3438603",0.96,"VRC","IGN","commune.13154","vineyard"
"12310611",0.08,"FLA","IGN","commune.13217","FLA"
"12310605",0.04,"FLA","IGN","commune.13217","FLA"
"12310605",0.04,"FLA","IGN","commune.13217","FLA"
"3471358",0.31,"VRC","IGN","commune.13112","vineyard"
"3479687",1.47,"VRC","IGN","commune.13265","vineyard"
"3468524",1.11,"VRC","IGN","commune.13029","vineyard"
"3482516",0.19,"VRC","IGN","commune.12920","vineyard"
"10120074",0.32,"VRC","IGN","commune.13217","vineyard"
"3447499",0.92,"SPH","IGN","commune.13143","perennial"
"10115578",0.3,"VRC","IGN","commune.13126","vineyard"
"3447568",2.29,"SPL","IGN","commune.13143","SPL"
"3440981",0.17,"VRC","IGN","commune.13126","vineyard"
"3472494",0.15,"OLI","IGN","commune.13051","olivetree"
"3472493",0.01,"OLI","IGN","commune.13051","olivetree"
"3470111",0.27,"OLI","IGN","commune.12955","olivetree"
"3472500",0.29,"VRC","IGN","commune.12955","vineyard"
"3472487",0.12,"BTH","IGN","commune.13165","wheat"
"3475956",0.61,"SPH","IGN","commune.13126","perennial"
"3475637",2.88,"PTR","IGN","commune.13126","semiperennial"
"3480450",0.43,"FLA","IGN","commune.12920","FLA"
"3487183",0.66,"VRC","IGN","commune.13028","vineyard"
"3475702",2.74,"SPL","IGN","commune.13090","SPL"
"3475566",2.27,"SPL","IGN","commune.13126","SPL"
"3439146",0.99,"VRN","IGN","commune.13154","vineyard"
"3491657",0.31,"PPH","IGN","commune.13251","perennial"
"3491732",0.16,"SPL","IGN","commune.13202","SPL"
"12301539",0.39,"VRN","IGN","commune.13121","vineyard"
"12300182",0.12,"VRC","IGN","commune.12922","vineyard"
"3491721",0.38,"RVI","IGN","commune.13251","semiperennial"
"3491658",2.02,"SPH","IGN","commune.13227","perennial"
"3490482",1.12,"BOP","IGN","commune.13033","notirrigated"
"12300461",1.12,"TRN","IGN","commune.12955","sunflower"
