"id_parcel","surf_parc","code_cultu","source","id","type"
"1060893",0.17,"SNE","IGN","commune.12920","SNE"
"1034749",0.3,"PPP","IGN","commune.12920","perennial"
"1063424",0.09,"BOR","IGN","commune.13154","notirrigated"
"878404",0.3,"VRT","IGN","commune.13154","vineyard"
"878406",0.27,"VRC","IGN","commune.13154","vineyard"
"1064882",0.05,"SNE","IGN","commune.13154","SNE"
"878405",0.42,"VRG","IGN","commune.13154","orchard"
"878407",0.43,"VRT","IGN","commune.13154","vineyard"
"1060523",0.01,"BOR","IGN","commune.13154","notirrigated"
"878485",0.9,"VRT","IGN","commune.13154","vineyard"
"1061355",0.01,"BOR","IGN","commune.13154","notirrigated"
"878484",0.48,"VRC","IGN","commune.13154","vineyard"
"878579",0.84,"VRC","IGN","commune.13154","vineyard"
"1060333",0.02,"BTA","IGN","commune.13154","notirrigated"
"878491",0.9,"VRC","IGN","commune.13187","vineyard"
"1064878",0.18,"BTA","IGN","commune.13154","notirrigated"
"1064878",0.18,"BTA","IGN","commune.13187","notirrigated"
"1061659",0.04,"BTA","IGN","commune.13187","notirrigated"
"878569",0.63,"VRC","IGN","commune.13187","vineyard"
"1065857",0.06,"BTA","IGN","commune.13187","notirrigated"
"1068039",0.05,"BOR","IGN","commune.13187","notirrigated"
"1068510",0.01,"SNE","IGN","commune.13187","SNE"
"878572",1.47,"J6P","IGN","commune.13146","perennial"
"878572",1.47,"J6P","IGN","commune.13286","perennial"
"1065868",0.03,"BOR","IGN","commune.13146","notirrigated"
"878635",0.33,"VRC","IGN","commune.13146","vineyard"
"1063869",0.01,"BOR","IGN","commune.13146","notirrigated"
"878480",1.23,"VRC","IGN","commune.13154","vineyard"
"1060345",0.14,"BOR","IGN","commune.13154","notirrigated"
"1063728",0.05,"BOR","IGN","commune.13154","notirrigated"
"1058968",0.03,"BOR","IGN","commune.13154","notirrigated"
"1063034",0.01,"BOR","IGN","commune.13154","notirrigated"
"878565",0.67,"VRC","IGN","commune.13154","vineyard"
"878636",0.19,"VRT","IGN","commune.13154","vineyard"
"1062175",0.04,"BOR","IGN","commune.13154","notirrigated"
"878634",1.62,"SNE","IGN","commune.13154","SNE"
"1064550",0.05,"SNE","IGN","commune.13154","SNE"
"1063011",0.01,"SNE","IGN","commune.13154","SNE"
"878566",0.97,"VRC","IGN","commune.13154","vineyard"
"1061893",0.01,"BOR","IGN","commune.13154","notirrigated"
"1062834",0.02,"BOR","IGN","commune.13154","notirrigated"
"878575",0.79,"BDH","IGN","commune.13154","wheat"
"1063569",0.07,"BTA","IGN","commune.13154","notirrigated"
"878481",0.91,"VRT","IGN","commune.13154","vineyard"
"878490",1.4,"VRT","IGN","commune.13154","vineyard"
"1067061",0.05,"BOR","IGN","commune.13154","notirrigated"
"1061351",0.01,"SNE","IGN","commune.13154","SNE"
"878577",0.06,"BOR","IGN","commune.13154","notirrigated"
"878576",0.81,"BDH","IGN","commune.13154","wheat"
"1066548",0.62,"SNE","IGN","commune.13154","SNE"
"878411",0.35,"VRT","IGN","commune.13154","vineyard"
"878410",1,"VRT","IGN","commune.13154","vineyard"
"926739",139.45,"SPH","IGN","commune.13202","perennial"
"926739",139.45,"SPH","IGN","commune.13231","perennial"
"1055011",152.12,"SPH","IGN","commune.13227","perennial"
"1055010",3.6,"SPH","IGN","commune.13227","perennial"
"1054889",51.6,"SPH","IGN","commune.13227","perennial"
"1054888",3.4,"PPH","IGN","commune.13227","perennial"
"1054890",3.94,"PPH","IGN","commune.13227","perennial"
"1054887",158.06,"SPH","IGN","commune.13227","perennial"
"1054947",5.8,"PPH","IGN","commune.13227","perennial"
"1054946",160.35,"SPH","IGN","commune.13227","perennial"
"1054885",72.07,"SPH","IGN","commune.13227","perennial"
"1054886",4.92,"PPH","IGN","commune.13227","perennial"
"890686",14.07,"SPH","IGN","commune.13231","perennial"
"892187",1.64,"FAG","IGN","commune.13231","fodder"
"892264",18.46,"SPH","IGN","commune.13231","perennial"
"892262",1.37,"FAG","IGN","commune.13231","fodder"
"892263",0.68,"PTR","IGN","commune.13231","semiperennial"
"892332",13.52,"SPH","IGN","commune.13231","perennial"
"866629",1.25,"PCH","IGN","commune.13003","annual"
"866630",0.21,"VRC","IGN","commune.13003","vineyard"
"866627",3.48,"PCH","IGN","commune.13003","annual"
"866628",0.3,"PRL","IGN","commune.13003","semiperennial"
"903300",1.48,"MLG","IGN","commune.13049","MLG"
"903298",4.54,"LUZ","IGN","commune.13049","fodder"
"903299",0.95,"SPH","IGN","commune.13049","perennial"
"995743",1,"TRE","IGN","commune.13049","fodder"
"903305",6.37,"SPH","IGN","commune.13049","perennial"
"903303",1.14,"PTR","IGN","commune.13049","semiperennial"
"903304",1.59,"PTR","IGN","commune.13049","semiperennial"
"9594771",4.5,"BOP","IGN","commune.13049","notirrigated"
"9594772",10.36,"PPH","IGN","commune.13049","perennial"
"903221",5.21,"SPH","IGN","commune.13049","perennial"
"903222",2.95,"BOP","IGN","commune.13049","notirrigated"
"903220",1.31,"SPH","IGN","commune.13049","perennial"
"996829",4.39,"PPH","IGN","commune.13049","perennial"
"996828",1.97,"PPH","IGN","commune.13049","perennial"
"996830",7.52,"BOP","IGN","commune.13049","notirrigated"
"9594794",1.77,"PRL","IGN","commune.13049","semiperennial"
"9594795",0.51,"PRL","IGN","commune.13049","semiperennial"
"9594796",10.16,"BOP","IGN","commune.13049","notirrigated"
"9594797",1.29,"PRL","IGN","commune.13049","semiperennial"
"2994573",67.7,"SPL","IGN","commune.13227","SPL"
"2994570",2.3,"SPL","IGN","commune.13227","SPL"
"3030693",1.9,"VRC","IGN","commune.12955","vineyard"
"3030685",0.48,"VRC","IGN","commune.12955","vineyard"
"3030695",1.25,"VRC","IGN","commune.12955","vineyard"
"3030694",1.06,"VRC","IGN","commune.12955","vineyard"
"3030696",0.64,"VRC","IGN","commune.12955","vineyard"
"3030683",0.7,"VRC","IGN","commune.12955","vineyard"
"3030758",0.97,"VRC","IGN","commune.12955","vineyard"
"3030692",0.53,"VRC","IGN","commune.12955","vineyard"
"3002023",81.22,"SPL","IGN","commune.13227","SPL"
"3002024",37.95,"SPL","IGN","commune.13227","SPL"
"10128720",1.02,"PPH","IGN","commune.12954","perennial"
"3061031",0.46,"SNE","IGN","commune.12955","SNE"
"3062363",0.74,"SNE","IGN","commune.12955","SNE"
"3057403",0.71,"SNE","IGN","commune.12955","SNE"
"3070574",0.26,"SNE","IGN","commune.12955","SNE"
"3068831",0.87,"SNE","IGN","commune.12955","SNE"
"3066730",0.03,"SNE","IGN","commune.12955","SNE"
"3069383",0.33,"SNE","IGN","commune.12955","SNE"
"3064241",0.66,"SNE","IGN","commune.12955","SNE"
"3058288",0.13,"SNE","IGN","commune.12955","SNE"
"3057524",0.9,"SNE","IGN","commune.12955","SNE"
"3058754",0.4,"SNE","IGN","commune.12955","SNE"
"3066348",0.4,"SNE","IGN","commune.12955","SNE"
"3482022",1.73,"PRL","IGN","commune.13214","semiperennial"
"3482021",0.81,"J6P","IGN","commune.13214","perennial"
"3482020",1.15,"VRC","IGN","commune.13214","vineyard"
"3482016",0.5,"J5M","IGN","commune.13214","semiperennial"
"3446773",0.72,"VRC","IGN","commune.13235","vineyard"
"3446782",1.02,"VRC","IGN","commune.13235","vineyard"
"3446781",1.13,"VRC","IGN","commune.13166","vineyard"
"3446771",1.15,"VRC","IGN","commune.12920","vineyard"
"3446784",2.12,"VRC","IGN","commune.12920","vineyard"
"3446779",1.13,"VRC","IGN","commune.12920","vineyard"
"3446844",2.5,"VRC","IGN","commune.13166","vineyard"
"3446845",3.01,"VRC","IGN","commune.13166","vineyard"
"3446774",0.63,"VRC","IGN","commune.13166","vineyard"
"3446775",0.3,"VRC","IGN","commune.13166","vineyard"
"3446776",0.48,"VRC","IGN","commune.13166","vineyard"
"3516818",0.48,"VRC","IGN","commune.13166","vineyard"
"3446770",0.52,"VRC","IGN","commune.13217","vineyard"
"3446846",0.26,"VRC","IGN","commune.13217","vineyard"
"3446772",2.26,"VRC","IGN","commune.13166","vineyard"
"10123123",0.13,"VRC","IGN","commune.13166","vineyard"
