"id_parcel","surf_parc","code_cultu","source","id","type"
"16628333",5.06,"SPH","IGN","commune.13218","perennial"
"16628334",2.73,"SPH","IGN","commune.13218","perennial"
"16628335",14.64,"SPH","IGN","commune.13218","perennial"
"16628336",6.54,"SPH","IGN","commune.13218","perennial"
"16628337",16.78,"SPH","IGN","commune.13218","perennial"
"16628338",42.02,"SPH","IGN","commune.13218","perennial"
"16628339",4.96,"SPH","IGN","commune.13218","perennial"
"14100217",0.76,"MLG","IGN","commune.13049","MLG"
"996830",7.52,"BOP","IGN","commune.13049","notirrigated"
"996828",1.97,"PPH","IGN","commune.13049","perennial"
"996829",4.39,"PPH","IGN","commune.13049","perennial"
"14100226",1,"MLG","IGN","commune.13049","MLG"
"903300",1.48,"PRL","IGN","commune.13049","semiperennial"
"14109096",0.95,"SPH","IGN","commune.13049","perennial"
"903298",4.54,"MLG","IGN","commune.13049","MLG"
"903222",2.95,"BOP","IGN","commune.13049","notirrigated"
"903221",5.21,"SPH","IGN","commune.13049","perennial"
"903220",1.31,"SPH","IGN","commune.13049","perennial"
"9594772",10.36,"PPH","IGN","commune.13049","perennial"
"878410",1,"VRT","IGN","commune.13154","vineyard"
"14104604",0.35,"VRT","IGN","commune.13154","vineyard"
"1034749",0.3,"PPP","IGN","commune.12920","perennial"
"926739",139.45,"SPH","IGN","commune.13202","perennial"
"926739",139.45,"SPH","IGN","commune.13231","perennial"
"995743",1,"MLG","IGN","commune.13049","MLG"
"903305",6.37,"SPH","IGN","commune.13049","perennial"
"903304",1.59,"PRL","IGN","commune.13049","semiperennial"
"903303",1.14,"PRL","IGN","commune.13049","semiperennial"
"878485",0.9,"VRT","IGN","commune.13154","vineyard"
"14123045",0.48,"VRC","IGN","commune.13154","vineyard"
"11672610",1.17,"VRC","IGN","commune.13187","vineyard"
"878636",0.19,"VRT","IGN","commune.13154","vineyard"
"878566",0.97,"VRC","IGN","commune.13154","vineyard"
"878490",1.4,"VRT","IGN","commune.13154","vineyard"
"14113543",1.13,"VRC","IGN","commune.13154","vineyard"
"892263",0.68,"FAG","IGN","commune.13231","fodder"
"892262",1.37,"FAG","IGN","commune.13231","fodder"
"892264",18.46,"SPH","IGN","commune.13231","perennial"
"892332",13.52,"SPH","IGN","commune.13231","perennial"
"14127558",152.12,"SPH","IGN","commune.13227","perennial"
"1055010",3.6,"SPH","IGN","commune.13227","perennial"
"1054889",51.6,"SPH","IGN","commune.13227","perennial"
