"id_parcel","surf_parc","code_cultu","source","id","type"
"100025",0.76,"VRC","IGN","commune.13003","vineyard"
"1000256",0.51,"OLI","IGN","commune.13028","olivetree"
"1000531",1.1,"PRL","IGN","commune.13100","semiperennial"
"1000532",0.29,"VRC","IGN","commune.13154","vineyard"
"1000555",0.64,"VRC","IGN","commune.13184","vineyard"
"1000721",0.1,"SNE","IGN","commune.13212","SNE"
"1000941",0.59,"VRC","IGN","commune.12920","vineyard"
"1000985",0.24,"VRC","IGN","commune.13155","vineyard"
"1001413",0.5,"MLG","IGN","commune.13109","MLG"
"1001635",0.13,"RVI","IGN","commune.13105","RVI"
"1001671",0.11,"OLI","IGN","commune.13028","olivetree"
"1002089",0.04,"BOR","IGN","commune.13003","notirrigated"
"100364",1.15,"J5M","IGN","commune.12941","J5M"
"1003700",0.01,"SNE","IGN","commune.13178","SNE"
"1004574",0.1,"BOR","IGN","commune.13184","notirrigated"
"100492",0.38,"VRC","IGN","commune.13218","vineyard"
"1005364",0.28,"VRC","IGN","commune.13139","vineyard"
"100553",0.13,"BOR","IGN","commune.13150","notirrigated"
"1006174",1.47,"SPL","IGN","commune.13120","SPL"
"1006670",0.96,"PRL","IGN","commune.13129","semiperennial"
"1007817",0.1,"PTR","IGN","commune.13218","semiperennial"
"1007881",0.67,"VRC","IGN","commune.13071","vineyard"
"1008211",0.21,"SNE","IGN","commune.13268","SNE"
"1008562",1.53,"VRC","IGN","commune.13165","vineyard"
"1008741",0.04,"BOR","IGN","commune.13105","notirrigated"
"1009106",0.64,"VRC","IGN","commune.13041","vineyard"
"1010159",37.16,"SPH","IGN","commune.13049","perennial"
"1010174",0.02,"BOR","IGN","commune.13156","notirrigated"
"101037",1.85,"RGA","IGN","commune.13098","semiperennial"
"1010400",0.94,"VRC","IGN","commune.13139","vineyard"
"1011220",0.22,"VRN","IGN","commune.13235","vineyard"
"1011649",0.08,"BOR","IGN","commune.13217","notirrigated"
"1012026",0.98,"VRC","IGN","commune.13109","vineyard"
"1012238",0.37,"VRC","IGN","commune.13218","vineyard"
"1012310",0.36,"VRC","IGN","commune.13235","vineyard"
"1012498",0.09,"SNE","IGN","commune.12923","SNE"
"1012500",0.11,"BOR","IGN","commune.13150","notirrigated"
"1012999",1.06,"VRC","IGN","commune.13286","vineyard"
"1013485",0.5,"VRC","IGN","commune.13071","vineyard"
"1013497",0.4,"VRC","IGN","commune.12955","vineyard"
"1015124",0.07,"SNE","IGN","commune.13217","SNE"
"1015216",0.05,"SNE","IGN","commune.13090","SNE"
"1015764",0.04,"SNE","IGN","commune.13098","SNE"
"1015778",0.2,"BOR","IGN","commune.13184","notirrigated"
"1015905",0.74,"VRC","IGN","commune.13184","vineyard"
"1016496",0.1,"BOR","IGN","commune.13218","notirrigated"
"1016538",0.47,"VRC","IGN","commune.13184","vineyard"
"1016609",0.14,"BOR","IGN","commune.13150","notirrigated"
"1017164",1.46,"VRC","IGN","commune.13028","vineyard"
"101719",0.14,"BOR","IGN","commune.13217","notirrigated"
"1017428",0.05,"SNE","IGN","commune.13052","SNE"
"1017660",2.42,"CEE","IGN","commune.13105","notirrigated"
"1017777",0.05,"BOR","IGN","commune.13150","notirrigated"
